end_station_name,end_station_id
Christ Hospital,JC034
Marin Light Rail,JC013
Baldwin at Montgomery,JC020
Hoboken Ave at Monmouth St,JC105
Paulus Hook,JC002
Monmouth and 6th,JC075
Warren St,JC006
Newport PATH,JC066
Van Vorst Park,JC035
Hilltop,JC019
Grand St,JC102
Jersey & 6th St,JC027
Brunswick St,JC023
Lincoln Park,JC053
Newark Ave,JC032
York St,JC096
Leonard Gordon Park,JC080
Union St,JC051
Hamilton Park,JC009
Sip Ave,JC056
Jackson Square,JC063
Washington St,JC098
Bergen Ave,JC095
Communipaw & Berry Lane,JC084
5 Corners Library,JC018
Journal Square,JC103
Harborside,JC104
South St & Gouverneur Ln,4953.04
Heights Elevator,JC059
Liberty Light Rail,JC052
Montgomery St,JC099
,
Columbus Dr at Exchange Pl,JC106
Oakland Ave,JC022
Pier 40 Dock Station,SYS035
JC Medical Center,JC011
Bloomfield St & 15 St,HB203
Newport Pkwy,JC008
Columbus Drive,JC014
Dey St,JC065
Glenwood Ave,JC094
McGinley Square,JC055
Morris Canal,JC072
Riverview Park,JC057
Manila & 1st,JC082
Lafayette Park,JC078
Pershing Square North,6432.09
City Hall,JC003
Brunswick & 6th,JC081
Fairmount Ave,JC093
Dixon Mills,JC076
Grove St PATH,JC005
Essex Light Rail,JC038
Pershing Field,JC024
Jersey & 3rd,JC074
Cleveland Pl & Spring St,5492.05
Astor Place,JC077
