start_station_name,start_station_id
Hoboken Ave at Monmouth St,JC105
Newport Pkwy,JC008
Journal Square,JC103
Newark Ave,JC032
5 Corners Library,JC018
Washington St,JC098
Montgomery St,JC099
York St,JC096
Marin Light Rail,JC013
Morris Canal,JC072
Communipaw & Berry Lane,JC084
Monmouth and 6th,JC075
Baldwin at Montgomery,JC020
Liberty Light Rail,JC052
Pershing Field,JC024
Heights Elevator,JC059
Astor Place,JC077
Sip Ave,JC056
McGinley Square,JC055
Jackson Square,JC063
Harborside,JC104
Paulus Hook,JC002
Warren St,JC006
Union St,JC051
Glenwood Ave,JC094
Bergen Ave,JC095
Oakland Ave,JC022
Hilltop,JC019
Jersey & 3rd,JC074
JC Medical Center,JC011
Newport PATH,JC066
Lafayette Park,JC078
Brunswick St,JC023
Brunswick & 6th,JC081
Hamilton Park,JC009
Dey St,JC065
Riverview Park,JC057
Fairmount Ave,JC093
Grove St PATH,JC005
Grand St,JC102
Christ Hospital,JC034
Columbus Dr at Exchange Pl,JC106
Van Vorst Park,JC035
Leonard Gordon Park,JC080
Essex Light Rail,JC038
Lincoln Park,JC053
Manila & 1st,JC082
Dixon Mills,JC076
City Hall,JC003
Jersey & 6th St,JC027
Columbus Drive,JC014
